Rnd.,Pick,Player,Pos.,Nationality,Team,School / club team
1,1,Victor Wembanyama~+,C,France,San Antonio Spurs,Metropolitans 92 (France)
1,2,Brandon Miller,SF,United States,Charlotte Hornets,Alabama (Fr.)
1,3,Scoot Henderson,PG,United States,Portland Trail Blazers,NBA G League Ignite (NBA G League)
1,4,Amen Thompson,PG,United States,Houston Rockets,City Reapers (Overtime Elite)
1,5,Ausar Thompson,SF,United States,Detroit Pistons,City Reapers (Overtime Elite)
1,6,Anthony Black,PG/SG,United States,Orlando Magic,Arkansas (Fr.)
1,7,Bilal Coulibaly,SF,France,Indiana Pacers (traded to Washington)[a],Metropolitans 92 (France)
1,8,Jarace Walker,PF,United States,Washington Wizards (traded to Indiana)[a],Houston (Fr.)
1,9,Taylor Hendricks,PF,United States,Utah Jazz,UCF (Fr.)
1,10,Cason Wallace,PG,United States,Dallas Mavericks (traded to Oklahoma City)[b],Kentucky (Fr.)
1,11,Jett Howard,SF,United States,Orlando Magic (from Chicago)[A],Michigan (Fr.)
1,12,Dereck Lively II,C,United States,Oklahoma City Thunder (traded to Dallas)[b],Duke (Fr.)
1,13,Gradey Dick,SG/SF,United States,Toronto Raptors,Kansas (Fr.)
1,14,Jordan Hawkins,SG,United States,New Orleans Pelicans,UConn (So.)
1,15,Kobe Bufkin,SG,United States,Atlanta Hawks,Michigan (So.)
1,16,Keyonte George,SG,United States,Utah Jazz (from Minnesota)[B],Baylor (Fr.)
1,17,Jalen Hood-Schifino,PG/SG,United States,Los Angeles Lakers,Indiana (Fr.)
1,18,Jaime Jaquez Jr.,SF/SG,Mexico[n 2],Miami Heat,UCLA (Sr.)
1,19,Brandin Podziemski,SG,United States,Golden State Warriors,Santa Clara (So.)
1,20,Cam Whitmore,SF,United States,Houston Rockets (from L.A. Clippers)[C],Villanova (Fr.)
1,21,Noah Clowney,PF,United States,Brooklyn Nets (from Phoenix)[D],Alabama (Fr.)
1,22,Dariq Whitehead,SF,United States,Brooklyn Nets,Duke (Fr.)
1,23,Kris Murray,PF,United States,Portland Trail Blazers (from New York)[E],Iowa (Jr.)
1,24,Olivier-Maxence Prosper,SF/PF,Canada,Sacramento Kings (traded to Dallas)[c],Marquette (Jr.)
1,25,Marcus Sasser,SG/PG,United States,Memphis Grizzlies (traded to Detroit via Boston)[d][e],Houston (Sr.)
1,26,Ben Sheppard,SG,United States,Indiana Pacers (from Cleveland)[F],Belmont (Sr.)
1,27,Nick Smith Jr.,PG/SG,United States,Charlotte Hornets (from Denver via New York and Oklahoma City)[G][H][I],Arkansas (Fr.)
1,28,Brice Sensabaugh,SF,United States,Utah Jazz (from Philadelphia via Brooklyn)[J],Ohio State (Fr.)
1,29,Julian Strawther,SF,Puerto Rico[n 3],"Indiana Pacers (from Boston,[K] traded to Denver)[f]",Gonzaga (Jr.)
1,30,Kobe Brown,SG/SF,United States,Los Angeles Clippers (from Milwaukee via Houston)[C],Missouri (Sr.)
2,31,James Nnaji#,C,Nigeria,Detroit Pistons (traded to Charlotte via Boston)[e][g],FC Barcelona (Spain)
2,32,Jalen Pickett,SG,United States,"Indiana Pacers (from Houston,[L] traded to Denver)[f]",Penn State (Sr.)
2,33,Leonard Miller,SF,Canada,San Antonio Spurs (traded to Minnesota)[h],NBA G League Ignite (NBA G League)
2,34,Colby Jones,SG,United States,"Charlotte Hornets (from Charlotte via Philadelphia and Atlanta,[M][E] traded to Sacramento via Boston)[g][i]",Xavier (Jr.)
2,35,Julian Phillips,SF,United States,"Boston Celtics (from Portland via Atlanta, L.A. Clippers, Detroit, and Cleveland,[N] traded to Chicago via Washington)[d][j]",Tennessee (Fr.)
2,36,Andre Jackson Jr.,SG,United States,Orlando Magic (traded to Milwaukee)[k],UConn (Jr.)
2,37,Hunter Tyson,SF,United States,"Oklahoma City Thunder (from Washington via New Orleans,[O][G] traded to Denver)[f]",Clemson (Sr.)
2,38,Jordan Walsh,SF,United States,"Sacramento Kings (from Indiana,[P] traded to Boston)[i]",Arkansas (Fr.)
2,39,Mouhamed Gueye,PF,Senegal,"Charlotte Hornets (from Utah via New York,[Q][I] traded to Atlanta via Boston)[g][l]",Washington State (So.)
2,40,Maxwell Lewis,SF,United States,"Denver Nuggets (from Dallas via Oklahoma City,[R] traded to L.A. Lakers)[f]",Pepperdine (So.)
2,41,Amari Bailey,SG,United States,Charlotte Hornets (from Oklahoma City via New York and Boston)[S][I],UCLA (Fr.)
2,42,Tristan Vukčević,PF/C,Serbia,Washington Wizards (from Chicago via Los Angeles Lakers and Washington)[T],Partizan Belgrade (Serbia)
2,43,Rayan Rupert,SG,France,Portland Trail Blazers (from Atlanta)[U],New Zealand Breakers (New Zealand)
2,44,Sidy Cissoko,SG/SF,France,San Antonio Spurs (from Toronto)[V],NBA G League Ignite (NBA G League)
2,45,GG Jackson,PF,United States,Memphis Grizzlies (from Minnesota)[W],South Carolina (Fr.)
2,46,Seth Lundy,SG,United States,Atlanta Hawks (from New Orleans)[X],Penn State (Sr.)
2,47,Mojave King#,SG,New Zealand United States,Los Angeles Lakers (traded to Indiana)[f],NBA G League Ignite (NBA G League)
2,48,Jordan Miller,SF,United States,Los Angeles Clippers,Miami (Sr.)
2,49,Emoni Bates,SF/SG,United States,Cleveland Cavaliers (from Golden State via Utah and New Orleans)[Y],Eastern Michigan (So.)
2,50,Keyontae Johnson,SF,United States,"Oklahoma City Thunder (from Miami via Boston, Memphis, and Dallas)[Z]",Kansas State (Sr.)
2,51,Jalen Wilson,SF,United States,Brooklyn Nets,Kansas (Jr.)
2,52,Toumani Camara,SF/PF,Belgium,Phoenix Suns,Dayton (Sr.)
2,53,Jaylen Clark,SG,United States,Minnesota Timberwolves (from New York via Charlotte)[I][AA],UCLA (Jr.)
2,54,Jalen Slawson,SF,United States,Sacramento Kings,Furman (Sr.)
2,55,Isaiah Wong,PG,United States,Indiana Pacers (from Cleveland via Milwaukee and Detroit)[AB][D],Miami (Sr.)
2,56,Tarik Biberović#,SF,Bosnia and Herzegovina,Memphis Grizzlies,Fenerbahçe (Turkey)
2,Chicago Bulls (from Denver via Cleveland;[AC] forfeited due to tampering violation)
2,Philadelphia 76ers (forfeited due to tampering violation)
2,57,Trayce Jackson-Davis,PF,United States,"Washington Wizards (from Boston via Charlotte,[AD] traded to Golden State)[m]",Indiana (Sr.)
2,58,Chris Livingston,SF,United States,Milwaukee Bucks,Kentucky (Fr.)
