Player,Nationality,Team,school,Pick,round
Toumani Camara,Belgium,Phoenix Suns,Dayton (Sr.),52,2
Tarik Biberović#,Bosnia and Herzegovina,Memphis Grizzlies,Fenerbahçe (Turkey),56,2
Olivier-Maxence Prosper,Canada,Sacramento Kings (traded to Dallas)[c],Marquette (Jr.),24,1
Leonard Miller,Canada,San Antonio Spurs (traded to Minnesota)[h],NBA G League Ignite (NBA G League),33,2
Victor Wembanyama~+,France,San Antonio Spurs,Metropolitans 92 (France),1,1
Rayan Rupert,France,Portland Trail Blazers (from Atlanta)[U],New Zealand Breakers (New Zealand),43,2
Sidy Cissoko,France,San Antonio Spurs (from Toronto)[V],NBA G League Ignite (NBA G League),44,2
Bilal Coulibaly,France,Indiana Pacers (traded to Washington)[a],Metropolitans 92 (France),7,1
Jaime Jaquez Jr.,Mexico[n 2],Miami Heat,UCLA (Sr.),18,1
Mojave King#,New Zealand United States,Los Angeles Lakers (traded to Indiana)[f],NBA G League Ignite (NBA G League),47,2
James Nnaji#,Nigeria,Detroit Pistons (traded to Charlotte via Boston)[e][g],FC Barcelona (Spain),31,2
Julian Strawther,Puerto Rico[n 3],"Indiana Pacers (from Boston,[K] traded to Denver)[f]",Gonzaga (Jr.),29,1
Mouhamed Gueye,Senegal,"Charlotte Hornets (from Utah via New York,[Q][I] traded to Atlanta via Boston)[g][l]",Washington State (So.),39,2
Tristan Vukčević,Serbia,Washington Wizards (from Chicago via Los Angeles Lakers and Washington)[T],Partizan Belgrade (Serbia),42,2
